SAMN08565629	U10A.fasta	QOBX00000000
SAMN08565630	U3G.fasta	QOBW00000000
SAMN08565631	U3B.fasta	QOBV00000000
SAMN08565632	U10D.fasta	QOBU00000000
SAMN08565633	U5C.fasta	QOBT00000000
SAMN08565634	U3E.fasta	QOBS00000000
SAMN08565635	U2E.fasta	QOBR00000000
SAMN08565636	L3D.fasta	QOBQ00000000
SAMN08565637	L4C.fasta	QOBP00000000
SAMN08565638	L11G.fasta	QOBO00000000
SAMN08565639	L10B.fasta	QOBN00000000
SAMN08565640	L3B.fasta	QOBM00000000
SAMN08565641	L4E.fasta	QOBL00000000
SAMN08565642	L4G.fasta	QOBK00000000
SAMN08565643	L7C.fasta	QOBJ00000000
SAMN08565644	L1B.fasta	QOBI00000000
SAMN08565645	S4H.fasta	QOBH00000000
SAMN08565646	S3B.fasta	QOBG00000000
SAMN08565647	S1E.fasta	QOBF00000000
SAMN08565648	S8A.fasta	QOBE00000000
SAMN08565651	ATCC42720.fasta	QOBD00000000
